API_NUMBER,qi,di,b,sqrt_error,skipped_days,TimeStamp
5057065360000,231.59648,0.00761,0.38695,9.188633063790967,75.0,2019/3/13 16:41:59
5057065400000,383.78689,0.00571,0.20489,12.875792590031342,72.0,2019/3/13 16:42:6
5057065410000,211.09421,0.00997,1.61235,17.90465843768664,121.0,2019/3/13 16:42:13
5057065420000,716.67496,0.00336,0.01119,32.66332705439755,36.0,2019/3/13 16:42:28
5057065450000,442.38958,0.004,0.001,65.71522254964496,0.0,2019/3/13 16:42:45
5057065470000,476.09713,0.00445,0.001,28.59293603897302,73.0,2019/3/13 16:42:50
5057065940000,393.07069,0.01511,0.67762,7.683574500318342,0.0,2019/3/13 16:46:51
5069064450000,220.68016,0.00473,0.62233,5.842665954545756,0.0,2019/3/13 16:47:15
5069064830000,431.3606,0.00336,0.84646,24.797534582145996,37.0,2019/3/13 16:47:24
5069064840000,488.586,0.00426,1.3866,30.02823039295437,37.0,2019/3/13 16:47:42
5069064860000,517.65264,0.00353,0.36858,23.338281507531928,62.0,2019/3/13 16:47:50
5075093650000,102.59041,0.01446,2.0,4.750282013350563,49.0,2019/3/13 16:48:48
5081077210200,41.0146,0.00235,0.78259,3.102207531392313,0.0,2019/3/13 16:50:59
5081077290100,144.90617,0.00691,0.58254,9.897071168191838,15.0,2019/3/13 17:23:38
5081077530000,331.77496,1.0,1.81326,2.8323622028590942,0.0,2019/3/13 17:23:51
5081077660100,17.28241,0.0067,2.0,0.8428689893546881,0.0,2019/3/13 17:24:11
5081078110000,293.85032,0.04623,1.10056,18.406409110185262,0.0,2019/3/13 17:24:50
5087081590100,282.22533,0.02424,1.03253,9.608057410307977,0.0,2019/3/13 17:25:15
5103117810000,189.67441,0.00141,0.14605,7.628769913003541,104.0,2019/3/13 17:25:39
5103118850000,80.75691,0.00526,1.13368,5.178759094894306,61.0,2019/3/13 17:25:56
5103119320000,53.56086,0.00127,0.13422,3.0332030722142878,79.0,2019/3/13 17:26:17
5103119550000,26.74513,0.00069,0.07273,3.2012319066647685,0.0,2019/3/13 17:32:14
5103121210100,90.49045,0.00659,1.93708,4.044422307246992,42.0,2019/3/13 17:32:23
5123295730100,853.18139,0.01193,0.82592,15.679526340157267,0.0,2019/3/13 17:32:53
5123306390000,278.78924,0.0294,1.6426,6.5449112911007115,0.0,2019/3/13 17:32:57
5123306620000,36.74727,0.00398,0.86714,4.651683404690487,0.0,2019/3/13 17:33:17
5123306950000,51.64554,0.00213,1.20791,74.24861177957264,0.0,2019/3/13 17:33:29
5123307490000,378.10137,0.0033,0.40751,46.21047487349582,17.0,2019/3/13 17:34:3
5123309040000,1258.15351,0.30036,1.53554,10.565980225788255,0.0,2019/3/13 17:34:7
5123309200000,621.77232,0.06771,1.19155,1.9584764507629755,0.0,2019/3/13 17:34:11
